2004/01,32
2004/02,35
2004/03,33
2004/04,32
2004/05,40
2004/06,30
2004/07,30
2004/08,35
2004/09,28
2004/10,40
2004/11,37
2004/12,42
2005/01,45
2005/02,34
2005/03,35
2005/04,34
2005/05,46
2005/06,37
2005/07,41
2005/08,31
2005/09,29
2005/10,43
2005/11,36
2005/12,42
2006/01,44
2006/02,36
2006/03,36
2006/04,43
2006/05,36
2006/06,33
2006/07,47
2006/08,36
2006/09,35
2006/10,48
2006/11,41
2006/12,54
2007/01,40
2007/02,44
2007/03,44
2007/04,53
2007/05,43
2007/06,42
2007/07,48
2007/08,36
2007/09,44
2007/10,41
2007/11,45
2007/12,63
2008/01,42
2008/02,41
2008/03,51
2008/04,41
2008/05,39
2008/06,50
2008/07,38
2008/08,44
2008/09,36
2008/10,40
2008/11,49
2008/12,46
2009/01,40
2009/02,38
2009/03,50
2009/04,42
2009/05,56
2009/06,44
2009/07,43
2009/08,50
2009/09,38
2009/10,39
2009/11,53
2009/12,41
2010/01,45
2010/02,36
2010/03,38
2010/04,36
2010/05,216
2010/06,83
2010/07,63
2010/08,68
2010/09,57
2010/10,66
2010/11,54
2010/12,53
2011/01,58
2011/02,48
2011/03,47
2011/04,46
2011/05,61
2011/06,51
2011/07,55
2011/08,41
2011/09,42
2011/10,52
2011/11,50
2011/12,45
2012/01,50
2012/02,40
2012/03,37
2012/04,47
2012/05,36
2012/06,36
2012/07,40
2012/08,33
2012/09,39
2012/10,32
2012/11,28
2012/12,39
2013/01,28
2013/02,26
2013/03,33
2013/04,26
2013/05,25
2013/06,30
2013/07,20
2013/08,20
2013/09,26
2013/10,22
2013/11,21
2013/12,24
2014/01,19
2014/02,19
2014/03,24
2014/04,19
2014/05,17
2014/06,21
2014/07,16
2014/08,18
2014/09,16
2014/10,16
2014/11,21
2014/12,16
2015/01,16
2015/02,20
2015/03,31
2015/04,26
2015/05,33
2015/06,16
2015/07,18
2015/08,27
2015/09,28
2015/10,28
2015/11,36
2015/12,23
2016/01,32
2016/02,24
2016/03,21
2016/04,21
2016/05,5
